Genus species,ETS,GBSSI,ITS,matK,PHYA,PHYB,psbA,rbcL,rpl32,rps2
Pedicularis pontica,-,-,JN252785,-,-,-,-,-,-,-
Pedicularis popovii,-,-,HG424182,HG424002,-,-,-,-,-,-
Pedicularis praeruptorum,-,-,HG424183,KR707764,-,-,-,KR707787,-,-
Pedicularis proboscidea,-,-,KF277574,HG424003,-,-,-,KT022805,-,-
Pedicularis procera,-,-,HG424184,HG424004,-,-,-,-,-,-
Pedicularis przewalskii,-,-,HM561877,JF955257,-,-,JN046080,JF943149,-,-
Pedicularis pseudomelampyriflora,-,-,KP986234,JF955260,-,-,JN046083,JF943152,-,-
Pedicularis pseudoversicolor,-,-,JN252788,JF955265,-,-,-,JF943157,-,-
Pedicularis pubiflora,-,-,JF977676,HG424005,-,-,-,-,-,-
Pedicularis pulchella,-,-,HG424186,-,-,-,-,-,-,-
Pedicularis pulchra,-,-,KJ735503,HG424006,-,-,-,-,-,-
Pedicularis punctata,-,-,HG424187,-,-,-,-,-,-,-
Pedicularis pycnantha,-,-,-,HG424007,-,-,-,-,-,-
Pedicularis pygmaea,-,-,HG424188,KR699640,-,-,-,KR078263,-,-
Pedicularis pyrenaica,-,-,KF277575,HG424008,-,-,-,-,-,-
Pedicularis qinghaiensis,-,-,HG424189,-,-,-,-,-,-,-
Pedicularis racemosa,-,-,HG424190,HG424010,-,-,-,KX679103,-,-
Pedicularis rainierensis,-,-,KJ735504,-,-,-,-,-,-,-
Pedicularis ramosissima,-,-,KJ735505,KT022630,-,-,-,KT022807,-,-
Pedicularis recurva,-,-,KF277576,-,-,-,-,-,-,-
Pedicularis recutita,-,-,HG424192,-,-,-,-,-,-,-
Pedicularis refracta,-,-,AY209229,-,-,-,-,-,-,-
Pedicularis remotiloba,-,-,AB754823,KT022631,-,-,-,KT022808,-,-
Pedicularis resupinata,-,-,JN252790,AB280527,-,-,JN046093,JF943160,-,-
Pedicularis rex,-,-,KY514253,JF955271,-,-,KF011798,KF011754,-,-
Pedicularis rhinanthoides,-,-,HG424194,JF955279,-,-,JN046100,KT280135,-,-
Pedicularis rhizomatosa,-,-,AY949691,KT022638,-,-,-,KT022817,-,-
Pedicularis rhodotricha,-,-,HG424195,JF955281,-,-,JN046106,JF943173,-,-
Pedicularis rhynchodonta,-,-,AY949674,JF955286,-,-,-,JF943178,-,-
Pedicularis rhynchotricha,-,-,JF977695,KT022639,-,-,-,KT022818,-,-
Pedicularis rigida,-,-,KF277577,JF955291,-,-,JN046114,JF943183,-,-
Pedicularis rizhaoensis,-,-,JF977700,JF955295,-,-,JN046118,JF943187,-,-
Pedicularis rosea,-,-,JF977704,-,-,-,-,-,-,-
Pedicularis roseialba,-,-,HG424196,-,-,-,-,-,-,-
Pedicularis rostratocapitata,-,-,HG424197,-,-,-,-,-,-,-
Pedicularis roylei,-,-,KC480385,JF955297,-,-,JN046120,KT022821,-,-
Pedicularis rubens,-,-,JF977706,HG424018,-,-,-,-,-,-
Pedicularis rudis,-,-,HG424200,KT022643,-,-,-,KT022823,-,-
Pedicularis rupicola,-,-,JN252795,JF955299,-,-,JN046128,KT022824,-,-
Pedicularis salicifolia,-,-,JF977709,KT022645,-,-,-,KT022825,-,-
Pedicularis salviiflora,-,-,KF277579,JF955306,-,-,-,JF943198,-,-
Pedicularis sceptrum-carolinum,-,-,HG424201,AB280528,-,-,-,KR078264,-,-
Pedicularis schistostegia,-,-,KY514255,AB280532,-,-,-,KT022826,-,-
Pedicularis schizorrhyncha,-,-,AY949704,KT022646,-,-,-,-,-,-
Pedicularis schugnana,-,-,HG424203,HG424022,-,-,-,-,-,-
Pedicularis scolopax,-,-,HG424204,KT022647,-,-,-,KT022827,-,-
Pedicularis scopulorum,-,-,AY949670,HG424024,-,-,-,-,-,-
Pedicularis scullyana,-,-,HG424206,HG424026,-,-,-,-,-,-
Pedicularis semenowii,-,-,HG424207,KT280241,-,-,-,-,-,-
Pedicularis semibarbata,-,-,HG424208,-,-,-,-,-,-,-
Pedicularis semitorta,-,-,HM561876,-,-,-,-,KT280136,-,-
Pedicularis sherriffii,-,-,JN252797,KT022649,-,-,-,KT022829,-,-
Pedicularis sibirica,-,-,GU444016,HG424028,-,-,-,-,-,-
Pedicularis sibthorpii,-,-,HG424210,JF955309,-,-,-,-,-,-
Pedicularis sigmoidea,-,-,HG424211,JF955311,-,-,JN046133,KT022830,-,-
Pedicularis sikangensis,-,-,JF977718,-,-,-,-,JF943203,-,-
Pedicularis sima,-,-,JF977720,KT022651,-,-,-,KT022831,-,-
Pedicularis siphonantha,-,-,KT022494,JF955314,-,-,JN046137,KT022833,-,MG547005
Pedicularis smithiana,-,-,JN252798,KT022654,-,-,-,KT022834,-,-
Pedicularis sorbifolia,-,-,JN252799,-,-,-,JN046145,JF943214,-,-
Pedicularis souliei,-,-,JF977731,JF955321,-,-,-,-,-,-
Pedicularis sphaerantha,-,-,-,KT022668,-,-,-,KT022847,-,-
Pedicularis spicata,-,-,JN252800,KT022669,-,-,-,KT022848,-,-
Pedicularis steiningeri,-,-,KY514246,-,-,-,-,-,-,-
Pedicularis stenocorys,-,-,HG424214,KT022670,-,-,-,KT022849,-,-
Pedicularis stewardii,-,-,KF277585,KT022671,-,-,-,KT022850,-,-
Pedicularis streptorhyncha,-,-,KT022507,-,-,-,-,-,-,-
Pedicularis striata,-,-,AY949689,KT022672,-,-,-,KT022851,-,-
Pedicularis strobilacea,-,-,KF277587,KR707760,-,-,-,KR707780,-,-
Pedicularis stylosa,-,-,KR707794,KT022674,-,-,-,KT022853,-,-
Pedicularis sudetica,-,-,KT022509,HG424034,-,-,-,KC483348,-,-
Pedicularis superba,-,-,HG424216,JF955329,-,-,KF011831,KF011787,-,-
Pedicularis sylvatica,-,-,KP986202,AF531781,-,-,-,KM360920,-,-
Pedicularis szetschuanica,-,-,HG424221,KT280242,-,-,-,KT280137,-,-
Pedicularis tachanensis,-,-,HG424222,JF955333,-,-,JN046159,JF943226,-,-
Pedicularis tahaiensis,-,-,JF977743,-,-,-,JN046163,-,-,-
Pedicularis talassica,-,-,-,HG424041,-,-,-,-,-,-
Pedicularis tantalorhyncha,-,-,HG424223,KT022676,-,-,-,KT022855,-,-
Pedicularis tatarinowii,-,-,KT022510,KT022677,-,-,-,KT022856,-,-
Pedicularis tatsienensis,-,-,KF277590,KT022678,-,-,-,KT022857,-,-
Pedicularis tayloriana,-,-,AY949660,KT022679,-,-,-,KT022858,-,-
Pedicularis tenacifolia,-,-,KT022512,KR707757,-,-,-,KR707775,-,-
Pedicularis tenuisecta,-,-,KF277591,JF955337,-,-,-,JF943230,-,-
Pedicularis ternata,-,-,JF977747,KT022680,-,-,-,KT022859,-,-
Pedicularis thamnophila,-,-,AY949694,JF955340,-,-,KF011833,KF011789,-,-
Pedicularis tianschanica,-,-,JN252804,HG424043,-,-,-,-,-,-
Pedicularis tibetica,-,-,HG424225,JF955345,-,-,JN046170,JF943239,-,-
Pedicularis tomentosa,-,-,JF977759,KT022682,-,-,-,KT022861,-,-
Pedicularis tongolensis,-,-,KF277594,JF955349,-,-,JN046173,JF943243,-,-
Pedicularis torta,-,-,HG424226,KT022683,-,-,-,KT022862,-,-
Pedicularis triangularidens,-,-,HG424227,KT022685,-,-,-,KT022864,-,-
Pedicularis trichocymba,-,-,KF277597,KT022686,-,-,-,KT022865,-,-
Pedicularis trichoglossa,-,-,AY949696,JF955354,-,-,JN046179,KT022866,-,-
Pedicularis trichomata,-,-,HG424229,KT022687,-,-,-,KT022867,-,-
Pedicularis tricolor,-,-,KF277599,JF955356,-,-,JN046180,JF943250,-,-
Pedicularis tristis,-,-,HG424230,KT022688,-,-,-,KT022868,-,-
Pedicularis tsangchanensis,-,-,JN252807,KT022689,-,-,-,KT022869,-,-
Pedicularis tsarungensis,-,-,KT022515,-,-,-,-,KT022870,-,-
Pedicularis tsekouensis,-,-,-,JF955359,-,-,JN046183,JF943253,-,-
Pedicularis tuberosa,-,-,JF977770,KC542176,AM234008,KC542261,-,-,-,JX023027
Pedicularis uliginosa,-,-,HG424232,HG424051,-,-,-,-,-,-
Pedicularis umbelliformis,-,-,KY069326,JF955362,-,-,JN046186,KR707774,-,-
Pedicularis uralensis,-,-,JF977773,HG424052,-,-,-,JF943258,-,-
Pedicularis urceolata,-,-,HG424234,JF955364,-,-,JN046188,-,-,-
Pedicularis vagans,-,-,HG424235,KT022690,-,-,-,KT022871,-,-
Pedicularis variegata,-,-,KT022517,JF955369,-,-,JN046193,JF943263,-,-
Pedicularis venusta,-,-,JF977780,HG424054,-,-,-,-,-,-
Pedicularis verbenifolia,-,-,KY069301,KT022691,-,-,-,KT022872,-,-
Pedicularis veronicifolia,-,-,KT022518,KT022692,-,-,-,KT022873,-,-
Pedicularis verticillata,-,-,KF277600,HG424055,-,-,-,KF602154,-,-
Pedicularis vialii,-,-,AY596818,JF955371,-,-,JN046195,JF943265,-,-
Pedicularis villosa,-,-,JF977782,HG424056,-,-,-,-,-,-
Pedicularis violascens,-,-,HG424238,HG424058,-,-,-,KT022875,-,-
Pedicularis waldheimii,-,-,HG424240,HG424059,-,-,-,-,-,-
Pedicularis wanghongiae,-,-,HG424241,KR707768,-,-,-,KR707781,-,-
Pedicularis wilhelmsiana,-,-,KR707796,AB280531,-,-,-,-,-,-
Pedicularis xiangchengensis,-,-,HG424242,-,-,-,-,-,-,-
Pedicularis yezoensis,-,-,DQ839424,-,-,-,-,-,-,-
Pedicularis yui,-,-,AY949683,KR707756,-,-,-,KR707776,-,-
Pedicularis yunnanensis,-,-,KR707799,KR707761,-,-,-,KR707778,-,-
Phacellanthus tubiflorus,-,-,KR707800,KY706625,KY706630,KY706632,-,-,-,KY706620
Phelipanche aegyptiaca,-,-,KY514235,-,-,-,-,-,-,KC814984
Phelipanche arenaria,-,-,MG948171,-,-,-,-,-,-,DQ310041
Phelipanche bungeana,-,-,KY513940,-,-,-,-,-,-,DQ310110
Phelipanche caesia,-,-,AY209330,-,-,-,-,-,-,-
Phelipanche coelestis,-,-,KY513936,-,-,-,-,-,-,DQ310050
Phelipanche georgii-reuteri,-,-,AY209329,-,-,-,-,-,-,-
Phelipanche gratiosa,-,-,EU581800,-,-,-,-,-,-,DQ310116
Phelipanche hirtiflora,-,-,EU581778,-,-,-,-,-,-,DQ310115
Phelipanche inexspectata,-,-,AY960739,-,-,-,-,-,-,-
Phelipanche lavandulacea,-,-,EU581718,-,-,-,-,-,-,DQ310122
Phelipanche mutelii,-,-,EU581730,-,-,-,-,-,-,DQ310121
Phelipanche nana,-,-,EU581804,-,-,-,-,-,-,DQ310120
Phelipanche nowackiana,-,-,AY209352,-,-,-,-,-,-,DQ403783
Phelipanche oxyloba,-,-,AY209319,-,-,-,-,-,-,DQ310108
Phelipanche portoilicitana,-,-,AY960743,-,-,-,-,-,-,-
Phelipanche pulchella,-,-,AY209326,-,-,-,-,-,-,DQ310055
Phelipanche purpurea,-,-,KY513964,-,-,-,-,JN892425,-,DQ310035
Phelipanche ramosa,-,-,KY513945,AF056148,AM233996,-,-,-,-,U48761
Phelipanche rosmarina,-,-,EU581735,-,-,-,-,-,-,DQ310059
Phelipanche tunetana,-,-,AY209324,-,-,-,-,-,-,DQ310065
Phtheirospermum japonicum,-,-,MG523326,JX091332,AM234010,KC542262,JQ910099,KX527173,-,MG547006
Pseudobartsia yunnanensis,-,-,GU445317,-,-,-,-,-,-,-
Pterygiella cylindrica,-,-,GU445320,JF746407,-,-,-,JF746425,-,MG547034
Pterygiella duclouxii,-,-,KJ563194,JF746410,-,-,-,JF746428,-,MG547036
Pterygiella muliensis,-,-,MG523331,MG546879,-,-,-,MG546921,-,MG547015
Pterygiella nigrescens,-,-,KC480388,KC542177,-,KC542263,-,JF746437,-,MG547038
Pterygiella parishii,-,-,JQ910092,-,-,-,-,-,-,-
Pterygiella tenuisecta,-,-,MG523349,KX959247,-,-,-,-,-,MG547025
Radamaea montana,-,-,KC480389,KC542178,-,-,-,MG546931,-,KC480433
Rehmannia angulata,-,-,-,-,-,-,-,-,-,-
Rehmannia chingii,-,-,EF363673,KR424749,-,-,KR424763,EF544598,-,FJ172710
Rehmannia chrysantha,-,-,KT036606,-,-,-,-,-,-,-
Rehmannia elata,-,-,MG523350,HQ384505,-,-,-,HQ384874,-,MG547041
Rehmannia glutinosa,-,-,FJ770228,GQ434277,-,-,KR424764,AJ247615,-,FJ172711
Rehmannia henryi,-,-,DQ272447,KR424747,-,-,-,FJ172722,-,FJ172708
Rehmannia japonica,-,-,-,-,-,-,-,-,-,-
Rehmannia piasezkii,-,-,EF363670,KR424746,-,-,KR424760,FJ172721,-,FJ172707
Rehmannia solanifolia,-,-,DQ069314,KR424748,-,-,KR424762,FJ172723,-,FJ172709
Rhinanthus angustifolius,-,-,-,-,-,-,-,-,-,-
Rhinanthus aristatus,-,-,AY911250,-,-,-,-,-,-,-
Rhinanthus crista-galli,-,-,KM408210,-,-,-,-,-,-,-
Rhinanthus cristatus,-,-,-,-,-,-,-,-,-,U48756
Rhinanthus glacialis,-,-,FJ790041,FJ790101,AM234014,KC542267,-,-,-,KC480436
Rhinanthus kyrollae,-,-,KM408209,-,-,-,-,-,-,-
Rhinanthus mediterraneus,-,-,-,-,-,-,-,-,-,-
Rhinanthus rumelicus,-,-,FJ790043,FJ790103,-,-,-,-,-,-
Rhinanthus serotinus,-,-,-,-,-,-,-,-,-,-
Rhynchocorys elephas,-,-,FJ790055,FJ790115,-,-,-,-,-,-
Rhynchocorys kurdica,-,-,JF900499,FJ790097,-,-,-,-,-,-
Rhynchocorys maxima,-,-,FJ790036,FJ790096,-,-,-,KU235129,-,-
Rhynchocorys odontophylla,-,-,FJ790034,FJ790094,-,-,-,-,-,-
Rhynchocorys orientalis,-,-,JF900498,FJ790095,AM234016,KC542269,-,-,-,JX023030
Rhynchocorys stricta,-,-,FJ790056,FJ790116,-,-,-,-,-,-
Schwalbea americana,-,-,KC480394,AF051998,AM234017,KC542270,-,AY849866,-,AF055150
Seymeria cassioides,-,-,-,KJ773143,-,-,-,KJ773887,-,-
Seymeria laciniata,EF103678,-,EF103742,KC542183,AM234019,-,-,-,-,-
Seymeria pectinata,-,-,AY911253,AF051999,-,-,-,AF026837,-,AF055141
Sieversandreas madagascarianus,-,-,-,FR728643,-,-,-,-,-,-
Siphonostegia chinensis,-,-,MG523351,KC542184,AM234020,KC542271,-,KX527313,-,KC480437
Siphonostegia laeta,-,-,JN381014,-,-,KC542272,-,-,-,-
Siphonostegia syriaca,-,-,KC480398,-,-,-,-,-,-,-
Sopubia cana,-,-,KC480399,JX091335,AM234021,-,-,-,-,U48748 
Sopubia karaguensis,-,-,-,FR728652,-,-,-,-,-,-
Sopubia lanata,-,-,MG523352,KC542185,AM234022,KC542273,-,MG546941,-,MG547043
Sopubia lemuriana,-,-,EU259259,FR728651,-,-,-,-,-,-
Sopubia mannii,-,-,FJ790062,FJ790122,-,-,-,-,-,-
Sopubia ramosa,-,-,KC480401,-,AM234023,-,-,-,-,-
Sopubia simplex,-,-,EU253607,-,-,-,-,-,-,-
Sopubia triphylla,-,-,-,-,-,-,-,-,-,-
Striga asiatica,-,-,KC480402,AF052000,AM234024,-,-,AF026838,-,U48746
Striga bilabiata,-,-,KC480403,FR728647,AM234025,KC542274,-,-,-,JX023036
Striga elegans,-,-,AY911256,JX091337,KC542193,KC542276,-,EU213519,-,KC480439
Striga forbesii,-,-,EU259266,-,-,-,-,-,-,-
Striga gesnerioides,-,-,KC480404,FR728646,AM234026,KC542275,-,AF026839,-,KC480440
Striga hermonthica,-,-,-,-,-,-,-,AF026840,-,-
Striga passargei,-,-,-,-,-,-,-,AF026841,-,-
Tozzia alpina,-,-,MF444624,AF052001,AM234031,KC542278,-,AF026843,-,U48754
Triaenophora rupestris,-,-,EF363675,KR424751,-,-,KR424765,EF544599,-,FJ172712
Triaenophora shennongjiaensis,-,-,FJ172741,-,-,-,-,FJ172732,-,FJ172717
Triphysaria eriantha,EF103672,FJ939228,FJ939252,-,-,-,-,MF963274,-,-
Triphysaria floribunda,-,-,KC480408,-,-,-,-,-,-,-
Triphysaria micrantha,-,-,EF103737,-,-,-,-,-,-,-
Triphysaria pusilla,-,FJ939227,MF964016,-,-,-,-,MF963275,-,-
Triphysaria versicolor,-,FJ939225,FJ939254,-,-,-,-,MG223569,-,-
Xizangia bartschioides,-,-,MG523354,JF746423,-,-,-,JF746443,-,MG547044
Xylocalyx aculeolatus,-,-,KC480410,-,-,-,-,-,-,-
Xylocalyx asper,-,-,KC480411,KC542186,-,KC542279,-,-,-,-
Xylocalyx carterae,-,-,KC480412,-,-,-,-,-,-,-,,,,
